ABV
50.0%
47.0%
43.0%
43.0%
37.8%
41.8%
6.0%
5.0%
4.7%
43.4%
44.0%
14.5%
57.0%
48.0%
58.0%
58.0%
61.0%
NAS
51.0%
NAS
53.0%
28.5%
58.0%
NAS
NAS
46.0%
52.0%
52.0%
52.0%
52.0%
52.0%
52.0%
5.5%
4.5%
4.2%
67.7%
45.0%
47.5%
53.5%
45.0%
6.0%
6.5%
40.0%
40.0%
62.8%
40.0%
14.0%
51.3%
40.0%
45.0%
NAS
37.5%
16.0%
16.0%
13.5%
7.2%
15.0%
42.0%
15.0%
14.2%
45.0%
50.0%
NAS
14.0%
15.0%
7.2%
6.5%
11.0%
43.0%
5.2%
40.0%
4.5%
7.2%
43.0%
51.0%
NAS
13.0%
17.0%
19.0%
NAS
12.5%
40.0%
40.0%
20.0%
50.0%
14.3%
55.4%
15.0%
40.0%
54.5%
20.0%
52.3%
12.0%
40.0%
40.0%
40.0%
60.0%
59.8%
59.1%
55.3%
57.2%
55.9%
55.9%
58.7%
60.5%
56.7%
57.9%
58.7%
58.7%
57.9%
54.5%
20.0%
43.0%
14.0%
12.0%
13.5%
14.0%
35.0%
40.0%
40.0%
12.5%
40.0%
45.0%
54.5%
14.4%
58.7%
8.3%
46.0%
4.2%
44.0%
52.8%
63.2%
NAS
64.8%
60.2%
68.1%
42.0%
45.0%
NAS
NAS
40.0%
43.0%
44.0%
50.0%
41.8%
61.4%
5.0%
4.5%
5.8%
43.4%
40.0%
45.7%
19.0%
14.5%
50.0%
59.0%
59.0%
58.0%
55.0%
NAS
52.0%
58.0%
42.0%
55.4%
53.0%
25.0%
55.9%
NAS
49.4%
52.0%
60.7%
46.0%
40.0%
46.0%
14.6%
40.0%
40.0%
NAS
14.5%
16.0%
42.3%
40.0%
40.0%
5.0%
8.0%
42.0%
40.0%
62.0%
43.0%
NAS
NAS
13.0%
57.0%
12.0%
51.5%
6.5%
NAS
13.5%
4.3%
12.5%
43.0%
14.2%
55.0%
14.5%
51.5%
12.0%
40.0%
40.0%
20.0%
43.7%
25.0%
46.0%
13.9%
13.9%
52.6%
45.2%
57.5%
40.0%
54.2%
58.7%
57.9%
57.4%
53.4%
56.6%
55.9%
20.0%
57.4%
19.0%
14.2%
46.5%
45.0%
57.0%
55.5%
5.1%
17.0%
61.0%
4.7%
6.5%
11.0%
46.0%
50.0%
8.0%
6.0%
47.0%
45.0%
46.0%
40.0%
49.0%
40.0%
48.0%
48.0%
44.0%
48.0%
55.4%
50.0%
NAS
43.8%
5.0%
6.0%
43.4%
43.4%
NAS
NAS
NAS
40.0%
40.0%
14.5%
NAS
50.0%
43.0%
50.0%
42.0%
56.3%
53.0%
38.0%
53.0%
45.1%
54.5%
NAS
40.0%
51.6%
53.0%
46.0%
50.2%
50.9%
48.0%
52.0%
52.0%
52.0%
52.0%
42.0%
52.0%
64.4%
45.0%
57.0%
46.0%
13.0%
12.0%
13.5%
45.0%
49.0%
5.0%
3.5%
16.0%
12.0%
55.0%
16.0%
40.0%
46.0%
4.5%
12.0%
40.0%
47.0%
55.0%
40.0%
52.8%
NAS
51.9%
54.1%
50.0%
19.0%
40.0%
7.0%
6.5%
4.5%
12.0%
6.5%
5.0%
3.8%
45.3%
NAS
13.5%
13.5%
NAS
NAS
14.5%
56.1%
13.9%
65.4%
20.0%
20.0%
40.0%
14.5%
NAS
NAS
NAS
40.0%
58.5%
49.5%
40.0%
40.0%
13.5%
50.2%
NAS
62.0%
28.0%
40.0%
55.5%
58.3%
59.1%
56.3%
59.2%
58.2%
58.7%
57.4%
61.5%
54.1%
12.0%
61.5%
62.0%
14.5%
11.5%
13.5%
37.5%
8.0%
40.0%
7.2%
8.5%
37.5%
61.6%
47.5%
47.0%
40.0%
46.0%
61.1%
45.0%
NAS
50.0%
49.0%
43.0%
43.0%
40.2%
44.2%
43.0%
48.0%
46.0%
43.0%
55.1%
50.0%
50.0%
5.0%
58.8%
7.5%
43.4%
NAS
45.7%
25.0%
14.5%
13.5%
61.5%
50.0%
NAS
41.0%
58.5%
48.0%
40.0%
57.2%
53.0%
53.0%
53.0%
45.7%
53.0%
46.0%
46.0%
45.0%
