observationTag
Beginner Friendly
Recommended for Enthusiasts
Good for Gifts 🎁
Cool Packaging
Acquired Taste 🤭
Easy to Drink 😋
Good for Cocktails 🍸
Good for Sipping 🥃
Good for Highballs 🍹
Unique Expression ⭐
For My Worst Enemy 😡
Overhyped! 🥸
More Complex Than Inception
What Just Hit Me
Is This Water?🚰
Try Once
Daily Drinker
Sharp Like a Toothpick
Hot Like Hell 🔥
Ticket to Funkytown 🎟️
Food Pairing Friendly 🥩
Netflx & Chill 🍆
Broke the Bank 💰
Smooth Criminal 🕺🏻
Grail 😇
