listingName,producerID,bottler,originCountry,drinkType,typeCategory,age,abv,reviewLink,officialDesc,sourceLink,photo,,,,,,,,,,,,,,,
Triple Tangerine Mandarin Orange Liqueur,ObjectId('65b33f65e8fb649accedb592'),OB,Singapore,Liqueur,Triple Sec,,0.38,https://88bamboo.co/blogs/everything-nice/tanglins-triple-tangerine-mandarin-orange-liqueur-38-abv,"In our quest to make the Singapore Sling truly Singaporean, Tanglin Gin embarked on a journey to create an artisanal Orange Liqueur. Paying homage to Singapore, we distil this liqueur with Mandarin Orange, Calamansi and Kaffir Lime Leaf, resulting in a great addition to any bar.",,,,,,,,,,,,,,,,,
Tanglin Orchid Gin,ObjectId('65b33f65e8fb649accedb592'),OB,Singapore,Gin,Contemporary,,0.42,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/the-distillery-that-put-singapore-on-the-world-map-tanglin-gin?_pos=7&_sid=d285dcc2a&_ss=r,"Our ‘OG’ is a modern gin with the unmistakable pine of juniper. Singapore’s First Gin has been designed to reflect the cultures and cuisines of its home country. The not-so-secret ingredient is in its name: Vanilla Planifolia Orchid. This modern gin is smooth—with the pine of the juniper unmistakably present. Its herbaceous flavour notes come from the classic gin botanicals with a surprising twist—Amchoor—hails from India and is a powdered green mango, adding that extra citrus note. The usual suspects appear too, old-world botanicals like coriander seed and liquorice.",,,,,,,,,,,,,,,,,
Tanglin Singapore Gin,ObjectId('65b33f65e8fb649accedb592'),OB,Singapore,Gin,Contemporary,,0.42,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/the-distillery-that-put-singapore-on-the-world-map-tanglin-gin?_pos=7&_sid=d285dcc2a&_ss=r,A citrusy gin with chilli and ginger to zing the palate.,,,,,,,,,,,,,,,,,
Tanglin Black Powder Gin,ObjectId('65b33f65e8fb649accedb592'),OB,Singapore,Gin,Contemporary,,0.58,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/the-distillery-that-put-singapore-on-the-world-map-tanglin-gin?_pos=7&_sid=d285dcc2a&_ss=r,A super smooth award-winning navy-strength gin. A must-try.,,,,,,,,,,,,,,,,,
Audemus Umami Oak Finished Gin,ObjectId('65b33f65e8fb649accedb596'),OB,France,Gin,Barrel-Aged,,0.42,https://88bamboo.co/blogs/gin/gin-made-from-cheese-audemus-umami-oak-finished-gin-42-abv,"Umami Gin is a product in its own universe. Named after the fifth taste; savouriness, or how we describe it – saltiness without the salt. The base flavour for this spirit comes from South Italian capers which are brought in directly from the cooperative. They’re distilled at 45 degrees to maintain the fresh iodic aroma. We combine this distillate with an infusion of Parmigiano-Reggiano, Italian parmesan cheese, which is glutamate-rich (the molecule which is responsible for our tongues ability to taste umami).  Combined with juniper, two other ingredients, and a base of neutral grain spirit, the blend is left to rest in an old cognac barrel for several months. The result is a fresh, lightly savoury gin with an entirely unique flavour profile.",,,,,,,,,,,,,,,,,
Monkey 47 Schwarzwald Dry Gin,ObjectId('65b33f65e8fb649accedb597'),OB,Germany,Gin,Contemporary,,0.47,,"An unusual gin from the Black Forest in Germany, Monkey 47 contains a unique ingredient. No, not that! Lingonberries! The 47 comes from the number of botanicals that go into this unique gin, and the fact it's bottled at a healthy 47%. It seems that the botanicals speak for themselves, as the gin has received bucketfuls of critical acclaim.",,,,,,,,,,,,,,,,,
Monkey 47 Sloe Gin,ObjectId('65b33f65e8fb649accedb597'),OB,Germany,Gin,Sloe Gin,,0.29,,"The superbly packaged Monkey 47 Sloe gin is a peppery, tangy, complex spirit made by macerating Black Forest sloes in spirit for three months.",,,,,,,,,,,,,,,,,
Roku Japanese Craft Gin,ObjectId('65b33f65e8fb649accedb598'),OB,Japan,Gin,Contemporary,,0.43,https://88bamboo.co/blogs/features/diving-deeper-into-roku-gin-taste-testing-its-sakura-and-yuzu-distillates,"Roku – meaning ‘six’ in Japanese. The Japanese Craft Gin contains six Japanese botanicals; sakura flower, sakura leaf, yuzu peel, sencha tea, gyokuro tea and sansho pepper, along with eight traditional botanicals including juniper berry, coriander seeds, angelica root, angelica seed, cardamom seed, cinnamon, bitter orange peel and lemon peel.",,,,,,,,,,,,,,,,,
KI NO BI Kyoto Dry Gin,ObjectId('65b33f65e8fb649accedb599'),OB,Japan,Gin,Contemporary,,0.46,,"KI NO BI (“The Beauty of the Seasons”) is inspired by tradition and is distilled, blended and bottled in Kyoto. Our gin is made in a recognisably dry style, but with a distinct Japanese accent. KI NO BI Kyoto Dry Gin is created with Japanese botanicals such as yellow yuzu from the north of Kyoto Prefecture, akamatsu wood chips (Japanese red pine), bamboo, gyokuro tea from the Uji region and green sanshō (Japanese peppercorn) berries.",,,,,,,,,,,,,,,,,
KI NO TEA Kyoto Dry Gin,ObjectId('65b33f65e8fb649accedb599'),OB,Japan,Gin,Contemporary,,0.45,,"KI NO TEA is a product created in collaboration with tea-grower and blender Hori-Shichimeien, founded in the Meiji era in 1879 and based in the famous Uji region to the south of Kyoto city. A number of super-premium Uji teas have been specially selected to form the heart of KI NO TEA. Tencha and gyokuro provide intense aromas and depth of flavour with a wonderful sweetness that occurs naturally in the distillation of these superior teas. These teas are blended carefully with a secret botanical recipe used only in KI NO TEA.",,,,,,,,,,,,,,,,,
KI NO BI SEI Kyoto Dry Gin,ObjectId('65b33f65e8fb649accedb599'),OB,Japan,Gin,Contemporary,,0.55,,"KI NO BI SEI is made according to the same intricate production method as the original KI NO BI, using 11 botanicals distilled in six distinct flavour categories, known as the 6 Elements. The final blend has been recalibrated by our distilling team to bring out the best of each botanical at the higher strength. This bottling is at the traditional Royal Navy strength of 54.5% abv, often confused with 100 proof, or 57.1% abv.",,,,,,,,,,,,,,,,,
The Lakes Gin Classic English Gin,ObjectId('65b33f65e8fb649accedb59a'),OB,United Kingdom,Gin,London Dry / Classic,,0.46,,"The Lakes Gin is our classic English gin with vibrant notes of juniper, cracked black pepper and orange peel. Inspired by the majestic Lake District National Park, our classic English gin is a showcase of exquisite taste, discerning sourcing and an exacting process of elimination. With a long, slow and gentle distillation in our traditional copper pot still, it is an exceptionally smooth London dry style gin, designed to stand the test of time. Gently distilled with the luxury of time for exceptional smoothness. Simply beautiful.",,,,,,,,,,,,,,,,,
Fords Gin,ObjectId('65b33f65e8fb649accedb59b'),OB,United Kingdom,Gin,London Dry / Classic,,0.45,,"Fords Gin is found in the very best gin joints around the world, from iconic hotel bars to frequently visited neighborhood spots. Created with respect to the traditions that have historically defined gin making, this classic London Dry is keen for all your cocktail adventures.",,,,,,,,,,,,,,,,,
Fords Gin Officers' Reserve,ObjectId('65b33f65e8fb649accedb59b'),OB,United Kingdom,Gin,London Dry / Classic,,0.55,,"Over-proof gin was traditionally reserved for officers of the British Royal Navy. Today, it’s for everyone! Fords Gin Officers’ Reserve is rested and aged in Amontillado Sherry casks for three weeks. Characteristics of the barrel’s wood shape the spirit’s flavour. It is then bottled at 54.5 ABV. This limited release is Fords Gin’s first Journey in Gin as a homage to the Navy Strength Gin category.",,,,,,,,,,,,,,,,,
Peddlers Rare Eastern Gin,ObjectId('65b33f65e8fb649accedb59d'),OB,China,Gin,Contemporary,,0.46,https://88bamboo.co/blogs/gin/peddlers-rare-eastern-gin,"Multiple awards from at the San Fran World Spirits Awards and CWSA. A fusion of eleven rare botanicals. Notes of Buddha’s hand, Sichuan pepper and lotus combine with juniper and other organic botanicals for a distinctive yet perfectly blended gin.",,,,,,,,,,,,,,,,,
Peddlers Barrel Aged Gin,ObjectId('65b33f65e8fb649accedb59d'),OB,China,Gin,Barrel-Aged,,0.46,,"Considered among the “best examples of its category” at the San Fran World Spirits Awards. Rested and refined for three months in French oak barrels that previously housed a Napa Valley pinot noir. With notes of smooth caramel, smoked Sichuan pepper, Pinot Noir grapes and fresh stone fruit.",,,,,,,,,,,,,,,,,
Peddlers Salted Plum Gin,ObjectId('65b33f65e8fb649accedb59d'),OB,China,Gin,Sloe Gin,,0.25,,"Peddlers Salted Plum Gin is a rare Chinese take on a traditional sloe gin. We take our award winning Shanghai Gin, infuse it with salted plum, mulberry, orange peel and osmanthus, and then age it for a month in Oloroso sherry barrels to give it a dry finish.",,,,,,,,,,,,,,,,,
Elephant Sloe Gin,ObjectId('65b33f65e8fb649accedb5a5'),OB,Germany,Gin,Sloe Gin,,0.35,,"We have combined our award-winning Elephant London Dry Gin with the classic flavour of fresh sloe berries. Macerated in the gin for several months, these wild berries add a richly rounded, lightly sweet and exquisitely fruity bouquet as well as a typical warm red colour to the spirit. Compared to other sloe gins, Elephant Sloe Gin has a lower sugar content paired with higher alcohol volume of 35%. This makes it perfectly suited to mixing in cocktails as well as enjoying it neat.",,,,,,,,,,,,,,,,,
Elephant London Dry Gin,ObjectId('65b33f65e8fb649accedb5a5'),OB,Germany,Gin,London Dry / Classic,,0.45,,"The gin’s nose yields a subtle juniper aroma with an undertone of mountain pine and other herbaceous notes. The taste is complex but strikingly smooth encompassing floral, fruity and spicy flavours which can be enjoyed both straight and in a cocktail. Each bottle is custom-made, adorned with hand-written labels and embossed with a crest. Each batch is named after past great tuskers and elephants that Elephant Gin’s partner elephant conservation foundations currently help to protect.",,,,,,,,,,,,,,,,,
Elephant Strength Gin,ObjectId('65b33f65e8fb649accedb5a5'),OB,Germany,Gin,London Dry / Classic,,0.57,,"Whilst the Elephant London Dry Gin and Elephant Strength Gin share the same fourteen botanicals, including rare African ingredients, to create their distinctive flavour profiles, the latter uses twice the quantity of botanicals and has an ABV of 57%. The botanical focus is also specifically centred around juniper, orange peel, mountain pine and African buchu, with its blackcurrant-like flavour profile. The result is a more powerful nose and taste - without losing the silky-smooth character that the Elephant London Dry Gin has become celebrated for. ",,,,,,,,,,,,,,,,,
Yellow Chartreuse,ObjectId('65b33f65e8fb649accedb59e'),OB,France,Liqueur,Herbal,,0.00,,"Created in 1840, this yellow liqueur is inspired by the Elixir Végétal recipe. It was so popular that Father Garnier, attorney and responsible for liqueurs at the time, subsequently decided to officially name it Chartreuse Jaune and registered the “Chartreuse” mark in 1852. It was a liqueur with a 43 ° content, produced and still made today by the Chartreux Fathers.",,,,,,,,,,,,,,,,,
Green Chartreuse,ObjectId('65b33f65e8fb649accedb59e'),OB,France,Liqueur,Herbal,,0.55,,"Created in 1840, the ""Liqueur de Santé"" is the first liqueur made from the original recipe of the Elixir Végétal de la Grande Chartreuse. It was so popular that Father Garnier, attorney and responsible for the liqueurs at the time, later decided to officially name it 'Chartreuse Verte', and registered the “Chartreuse” mark in 1852. It is still produced and manufactured today by the Chartreux Fathers in their Aiguenoire distillery in Entre-Deux-Guiers (Isère - France).",,,,,,,,,,,,,,,,,
Patrón Silver,ObjectId('65b33f65e8fb649accedb59f'),OB,Mexico,Tequila,Blanco,,0.40,,"PATRÓN Silver is handcrafted from the finest 100% Weber Blue Agave and is carefully distilled in small batches at Hacienda Patrón distillery in Jalisco, Mexico to create our naturally additive free super-premium tequila.",,,,,,,,,,,,,,,,,
Patrón Reposado,ObjectId('65b33f65e8fb649accedb59f'),OB,Mexico,Tequila,Reposado,,0.40,,"PATRÓN Reposado is handcrafted from the finest 100% Weber Blue Agave and is carefully distilled in small batches at Hacienda Patrón distillery in Jalisco, Mexico. It’s then aged for at least 4 months in American whiskey barrels resulting in our naturally additive free ultra-premium tequila.",,,,,,,,,,,,,,,,,
Patrón Anejo,ObjectId('65b33f65e8fb649accedb59f'),OB,Mexico,Tequila,Anejo,,0.40,,"PATRÓN Añejo is handcrafted from the finest 100% Weber Blue Agave and is carefully distilled in small batches at Hacienda Patrón distillery in Jalisco, Mexico. It's then aged for over 12 months in a combination of French oak, Hungarian oak and used American whiskey barrels to create our naturally additive free ultra-premium tequila.",,,,,,,,,,,,,,,,,
Patrón Extra Anejo,ObjectId('65b33f65e8fb649accedb59f'),OB,Mexico,Tequila,Extra Anejo,,0.40,,"PATRÓN Extra Añejo, made from the highest quality 100% Weber Blue Agave, is our masterfully handcrafted additive free ultra-premium tequila. Aged for a minimum of 3 years in American, French and Hungarian oak barrels, it features deep, nuanced flavors perfect for replacing whiskey in your cocktails.",,,,,,,,,,,,,,,,,
Patrón Añejo Lot 221,ObjectId('65b33f65e8fb649accedb59f'),OB,Mexico,Tequila,Anejo,,0.40,,"Patrón Añejo Lot 221 was created from a blend of tequilas aged for more than a year in French, Hungarian, and American oak barrels. The result is a distinctly sweet tasting tequila with hints of vanilla, butter and cinnamon.",,,,,,,,,,,,,,,,,
Campari,ObjectId('65b33f65e8fb649accedb5a0'),OB,Italy,Liqueur,Herbal,,0.25,,"THE ICONIC, UNFORGETTABLE ITALIAN RED SPIRIT AT THE HEART OF SOME OF THE WORLD’S MOST FAMOUS COCKTAILS.",,,,,,,,,,,,,,,,,
100 Aspects Of The Moon Vol. 1 Uitvlugt 1991 31 Year Old,ObjectId('65b33f65e8fb649accedb5a1'),Precious Liquors,Guyana,Rum / Rhum,Molasses - Pure Single Rum (Pot Still),31,0.53,https://88bamboo.co/blogs/rum-reviews/two-volumes-of-100-aspects-of-the-moon-uitvlugt-1991-31-year-old-diamond-2001-22-year-old-as-selected-by-precious-liquors-and-stefan-van-eycken,,,,,,,,,,,,,,,,,,
100 Aspects Of The Moon Vol. 2 Port Mourant Stills 2001 22 Year Old,ObjectId('65b33f65e8fb649accedb5a1'),Precious Liquors,Guyana,Rum / Rhum,Molasses - Pure Single Rum (Pot Still),22,0.45,https://88bamboo.co/blogs/rum-reviews/two-volumes-of-100-aspects-of-the-moon-uitvlugt-1991-31-year-old-diamond-2001-22-year-old-as-selected-by-precious-liquors-and-stefan-van-eycken,,,,,,,,,,,,,,,,,,
Trinidad TDL 2002,ObjectId('65b33f65e8fb649accedb5a2'),The Wild Parrot,Trinidad and Tobago,Rum / Rhum,Molasses - Traditional Rum (Column Still),20,0.59,https://88bamboo.co/blogs/rum-reviews/the-wild-parrot-trinidad-tdl-2002-20-year-old-59-1-abv,,,,,,,,,,,,,,,,,,
Hampden Great House 2020,ObjectId('65b33f65e8fb649accedb5a7'),OB,Jamaica,Rum / Rhum,Molasses - Pure Single Rum (Pot Still),NAS,0.59,,,,,,,,,,,,,,,,,,,
Hampden Great House 2021,ObjectId('65b33f65e8fb649accedb5a7'),OB,Jamaica,Rum / Rhum,Molasses - Pure Single Rum (Pot Still),NAS,0.55,,,,,,,,,,,,,,,,,,,
Hampden Great House 2022,ObjectId('65b33f65e8fb649accedb5a7'),OB,Jamaica,Rum / Rhum,Molasses - Pure Single Rum (Pot Still),NAS,0.55,,,,,,,,,,,,,,,,,,,
Clarendon 1995,ObjectId('65b33f65e8fb649accedb5ab'),Aficionados Group,Jamaica,Rum / Rhum,Molasses - Pure Single Rum (Pot Still),26,0.68,,,,,,,,,,,,,,,,,,,
Last Ward Barbados 2007,ObjectId('65b33f65e8fb649accedb5ac'),Velier,Barbados,Rum / Rhum,Molasses - Pure Single Rum (Pot Still),16,0.60,https://88bamboo.co/blogs/rum-reviews/velier-last-ward-barbados-2007-16-years-old-60-abv,,,,,,,,,,,,,,,,,,
Renegade Rum 2020,ObjectId('65b33f65e8fb649accedb5ad'),Habitation Velier,Grenada,Rum / Rhum,Molasses - Pure Single Rum (Pot Still),3,0.55,https://88bamboo.co/blogs/rum-reviews/habitation-velier-renegade-2020-3-year-old-55-abv,,,,,,,,,,,,,,,,,,
Caroni Paradise #4 1996,ObjectId('65b33f65e8fb649accedb5ae'),Velier,Trinidad and Tobago,Rum / Rhum,Molasses - Traditional Rum (Column Still),22,0.68,,,,,,,,,,,,,,,,,,,
Caroni Paradise #3 1994,ObjectId('65b33f65e8fb649accedb5ae'),Velier,Trinidad and Tobago,Rum / Rhum,Molasses - Traditional Rum (Column Still),26,0.53,,,,,,,,,,,,,,,,,,,
Hampden Pagos Second Edition,ObjectId('65b33f65e8fb649accedb5a7'),OB,Jamaica,Rum / Rhum,Molasses - Pure Single Rum (Pot Still),NAS,0.52,https://88bamboo.co/blogs/rum-reviews/hampden-pagos-2023-second-edition,,,,,,,,,,,,,,,,,,
Hampden Great House 2023,ObjectId('65b33f65e8fb649accedb5a7'),OB,Jamaica,Rum / Rhum,Molasses - Pure Single Rum (Pot Still),NAS,0.57,https://88bamboo.co/blogs/rum-reviews/hampden-great-house-2023,,,,,,,,,,,,,,,,,,
Amrut 2022,ObjectId('65b33f65e8fb649accedb5b1'),Habitation Velier,India,Rum / Rhum,Juice - Pure Single Rum,0,0.63,https://88bamboo.co/blogs/rum-reviews/habitation-velier-amrut-india-pure-sugar-cane-juice-rum-2022-62-8-abv,,,,,,,,,,,,,,,,,,
Zetwal,ObjectId('65b33f65e8fb649accedb5af'),OB,Martinique,Rum / Rhum,Juice - Rhum Agricole (Column Still),NAS,0.49,,,,,,,,,,,,,,,,,,,
Amrut Jaggery Rum 2015 Single Cask ex-Bourbon #225 Whisky Live Singapore,ObjectId('65b33f65e8fb649accedb5b1'),Velier,India,Rum / Rhum,Others - Excluding 100% Juice / 100% Syrup / 100% Molasses,7,0.63,https://88bamboo.co/blogs/rum-reviews/velier-amrut-2015-7-year-old-single-cask-ex-bourbon-no-225-high-proof-62-8-abv,,,,,,,,,,,,,,,,,,
TDL 1991 'Black Bart' Golden Age of Piracy,ObjectId('65b33f65e8fb649accedb5a2'),Distilia,Trinidad and Tobago,Rum / Rhum,Molasses - Traditional Rum (Column Still),31,0.63,https://88bamboo.co/blogs/rum-reviews/three-pirates-walk-into-a-bar-distilia-tdl-1991-black-bart-diamond-1996-captain-benjamin-hornigold-grenada-westerhall-1993-edward-low-golden-age-of-piracy,,,,,,,,,,,,,,,,,,
Diamond 1996 'Captain Benjamin Hornigold' Golden Age of Piracy,ObjectId('65b33f65e8fb649accedb5a1'),Distilia,Guyana,Rum / Rhum,Molasses - Pure Single Rum (Pot Still),26,0.50,https://88bamboo.co/blogs/rum-reviews/three-pirates-walk-into-a-bar-distilia-tdl-1991-black-bart-diamond-1996-captain-benjamin-hornigold-grenada-westerhall-1993-edward-low-golden-age-of-piracy,,,,,,,,,,,,,,,,,,
