listingName,producerID,bottler,originCountry,drinkType,typeCategory,age,abv,reviewLink,officialDesc,sourceLink,photo,,,,,,,,,,,,,,,
Appleton Estate Independence Reserve 50 Year Old,ObjectId('65b33f65e8fb649accedb5bc'),OB,Jamaica,Rum / Rhum,Molasses - Pure Single Rum (Pot Still),50,0.45,,,,,,,,,,,,,,,,,,,
Apple Estate Legend 17 Year Old,ObjectId('65b33f65e8fb649accedb5bc'),OB,Jamaica,Rum / Rhum,Molasses - Pure Single Rum (Pot Still),17,0.49,,,,,,,,,,,,,,,,,,,
Appleton Hearts Collection 2002 20 Year Old ,ObjectId('65b33f65e8fb649accedb5bc'),OB,Jamaica,Rum / Rhum,Molasses - Pure Single Rum (Pot Still),20,0.63,https://88bamboo.co/blogs/rum-reviews/appleton-hearts-collection-20yo-2002-29yo-1993-jamaican-rums,,,,,,,,,,,,,,,,,,
Appleton Hearts Collection 1993 29 Year Old ,ObjectId('65b33f65e8fb649accedb5bc'),OB,Jamaica,Rum / Rhum,Molasses - Pure Single Rum (Pot Still),29,0.63,https://88bamboo.co/blogs/rum-reviews/appleton-hearts-collection-20yo-2002-29yo-1993-jamaican-rums,,,,,,,,,,,,,,,,,,
Single Cask Fine Barbados Rum Domino Series 02,ObjectId('65b33f65e8fb649accedb5b5'),The Rum Cartel,Barbados,Rum / Rhum,Molasses - Single Blended Rum (Pot & Column Still),17,0.59,https://88bamboo.co/blogs/rum-reviews/barbados-rum-foursquare-17-year-old-bottled-for-the-rum-cartel-58-7-abv,,,,,,,,,,,,,,,,,,
Barbados 2000 Pure Single Barbados Rum 'KyoMurasaki',ObjectId('65b33f65e8fb649accedb5ba'),"Malt, Grain & Cane",Barbados,Rum / Rhum,Molasses - Pure Single Rum (Pot Still),22,0.52,https://88bamboo.co/blogs/rum-reviews/mount-gay-2000-pure-single-barbados-rum-22-years-old-malt-grain-cane-51-9-abv,,,,,,,,,,,,,,,,,,
Espolon Blanco,ObjectId('65b33f65e8fb649accedb5be'),OB,Mexico,Tequila,Blanco,,0.40,https://88bamboo.co/blogs/tequila-mezcal-reviews/tasting-three-espolon-tequilas-espolon-blanco-espolon-reposado-espolon-anejo,,,,,,,,,,,,,,,,,,
Espolon Reposado,ObjectId('65b33f65e8fb649accedb5be'),OB,Mexico,Tequila,Reposado,,0.40,https://88bamboo.co/blogs/tequila-mezcal-reviews/tasting-three-espolon-tequilas-espolon-blanco-espolon-reposado-espolon-anejo,"Espoln Reposado Tequila flaunts a slow finish with a sweet spicy fade. A hedonistic Reposado that has Aejo-like wood spiciness. Aged 6 months in American oak barrels. Rich with a golden hue. Spicy, caramel aromas with a hint of chocolate. Bold, round mouth-feel leads to a medium-dry, full-bodied palate with rich roasted agave, sweet tropical fruit, intense vanilla and brown spices",,,,,,,,,,,,,,,,,
Espolon Anejo,ObjectId('65b33f65e8fb649accedb5be'),OB,Mexico,Tequila,Anejo,,0.40,https://88bamboo.co/blogs/tequila-mezcal-reviews/tasting-three-espolon-tequilas-espolon-blanco-espolon-reposado-espolon-anejo,,,,,,,,,,,,,,,,,,
Ilegal Mezcal Reposado,ObjectId('65b33f65e8fb649accedb5bf'),OB,Mexico,Mezcal,,,0.00,https://88bamboo.co/blogs/tequila-mezcal-reviews/ilegal-mezcal-reposado-40-abv,,,,,,,,,,,,,,,,,,
Clase Azul Tequila Reposado,ObjectId('65b33f65e8fb649accedb5c0'),OB,Mexico,Tequila,Reposado,,0.40,https://88bamboo.co/blogs/tequila-mezcal-reviews/clase-azul-tequila-reposado-40-abv,,,,,,,,,,,,,,,,,,
Topanito Espadin Mezcal Artesanal Blanco,ObjectId('65b33f65e8fb649accedb5b6'),OB,Mexico,Mezcal,,,0.00,https://88bamboo.co/blogs/tequila-mezcal-reviews/topanito-espadin-mezcal-artesanal-blanco-52-abv,,,,,,,,,,,,,,,,,,
Del Maguey Tobala Single Village Mezcal,ObjectId('65b33f65e8fb649accedb5b7'),OB,Mexico,Mezcal,,,0.45,https://88bamboo.co/blogs/tequila-mezcal-reviews/del-maguey-tobala-single-village-mezcal-45-abv,,,,,,,,,,,,,,,,,,
Tequila Tapatio Excelencia Extra Anejo,ObjectId('65b33f65e8fb649accedb5b8'),OB,Mexico,Tequila,Extra Anejo,,0.40,https://88bamboo.co/blogs/tequila-mezcal-reviews/tequila-tapatio-excelencia-extra-anejo,,,,,,,,,,,,,,,,,,
Lady Trieu Contempoary Vietnam Gin,ObjectId('65b33f65e8fb649accedb5bd'),OB,Vietnam,Gin,Contemporary,,0.43,https://88bamboo.co/blogs/gin/lady-trieu-contemporary-vietnam-gin-43-abv,"Lady Triệu Contemporary Vietnam Gin provides a cumulative flavour odyssey of all regions of Vietnam. Produced in small batches, using a rich tapestry of the finest botanicals meticulously sourced throughout this proud land. Bold citrus fruit and developing sweet warming spice, balanced with fragrant juniper and fresh crisp pepper notes. Finished with a hint of dry aromatic tea. A unique yet versatile gin, bringing contemporary Vietnamese Flavours to your favourite cocktails. Try in a gin and tonic with a fresh wheel of lime or a zesty gimlet cocktail",,,,,,,,,,,,,,,,,
